2026-04-02 23:31:26 | DEBUG | bot | [DIAUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:31:26 | DEBUG | bot | [EIGENUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:27 | ERROR | bot | [U1000CATUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000catusdt
2026-04-02 23:31:27 | DEBUG | bot | [DEEPUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:28 | DEBUG | bot | [SCRUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:28 | DEBUG | bot | [MOODENGUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:29 | DEBUG | bot | [GOATUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:29 | DEBUG | bot | [SANTOSUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:30 | DEBUG | bot | [SAFEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:30 | DEBUG | bot | [GRASSUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:31 | DEBUG | bot | [CETUSUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:31 | DEBUG | bot | [COWUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:32 | ERROR | bot | [U1000000MOGUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000000mogusdt
2026-04-02 23:31:32 | DEBUG | bot | [DRIFTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:33 | DEBUG | bot | [PNUTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:33 | DEBUG | bot | [ACTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:34 | DEBUG | bot | [HIPPOUSDT] Успешно: ISOLATED Margin, Lev=20.0x
2026-04-02 23:31:34 | DEBUG | bot | [AKTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:35 | DEBUG | bot | [BANUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:35 | DEBUG | bot | [SCRTUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:36 | ERROR | bot | [U1000CHEEMSUSDT] Ошибка настройки: private api request failed: phemex error [10500]: failed to find symbol u1000cheemsusdt
2026-04-02 23:31:36 | DEBUG | bot | [CHILLGUYUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:37 | DEBUG | bot | [MORPHOUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:37 | DEBUG | bot | [THEUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:38 | DEBUG | bot | [AEROUSDT] Успешно: ISOLATED Margin, Lev=21x
2026-04-02 23:31:39 | DEBUG | bot | [KAIAUSDT] Успешно: ISOLATED Margin, Lev=21x
